amount,time,end state
1,0,7.9554e-05,1
2,1,8.7919e-05,1
3,2,0.000111731,1
4,3,0.000135486,1
5,4,0.000147682,1
6,6,0.000334714,1
7,8,0.000492098,1
8,9,0.000701262,1
9,10,0.00102037,1
10,11,0.00138001,1
11,12,0.00171943,1
12,14,0.0016969,1
13,15,0.00189975,1
14,16,0.00250172,1
15,18,0.00323355,1
16,19,0.00417548,1
17,20,0.00539972,1
18,20,0.00540915,1
19,20,0.00544882,1
20,20,0.00536063,1
21,20,0.00533272,1
22,20,0.00537615,1
23,20,0.00538194,1
24,20,0.00548215,1
25,20,0.00533657,1
26,20,0.00539675,1
27,20,0.00534268,1
28,20,0.00536282,1
29,20,0.00542806,1
30,20,0.00536498,1
31,20,0.00533903,1
32,20,0.00535362,1
33,20,0.00537846,1
34,20,0.0053947,1
35,20,0.0053488,1
36,20,0.00541166,1
